City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Gushikawa,JP,1562173035,26.35,127.87,40,88,82.4,10.29
Nome,US,1562172994,30.04,-94.42,75,74,86,8.05
Cidreira,BR,1562173189,-30.17,-50.22,0,47,54.8,16.04
Port Elizabeth,US,1562172932,39.31,-74.98,40,66,91,6.93
Clyde River,CA,1562172896,70.47,-68.59,90,93,35.6,14.99
Alcudia,ES,1562173189,39.85,3.12,0,48,86,10.29
Semnan,IR,1562173189,35.58,53.39,0,19,91.4,2.24
Manaure,CO,1562173189,11.78,-72.45,41,66,82.52,15.39
Saint-Francois,FR,1562173190,46.42,3.91,0,33,86,5.82
Namibe,AO,1562173125,-15.19,12.15,0,92,69.56,1.77
Nivelles,BE,1562173190,50.6,4.32,0,40,72,12.75
Longview,US,1562172997,32.5,-94.74,40,74,88,5.82
Yellowknife,CA,1562172899,62.45,-114.38,75,76,53.6,14.99
Tilichiki,RU,1562173010,60.47,166.1,90,88,49.94,3.11
Teutonia,DE,1562173191,51.59,9.03,0,39,69.01,6.93
Winnemucca,US,1562173191,40.97,-117.74,1,32,69.01,13.87
Mahebourg,MU,1562172894,-20.41,57.7,75,94,69.8,5.82
Esperanza,AR,1562173184,-31.45,-60.93,0,28,61,4
Hermanus,ZA,1562172889,-34.42,19.24,0,83,59,1.99
Tautira,PF,1562172897,-17.73,-149.15,40,88,69.8,3.36
Abu Samrah,SY,1562173191,35.3,37.18,0,51,75.68,14.34
Alofi,NU,1562172779,-19.06,-169.92,98,73,73.4,16.11
Yeniseysk,RU,1562173192,58.45,92.17,67,91,66.86,2.26
Aklavik,CA,1562173057,68.22,-135.01,40,67,60.8,5.82
Tarauaca,BR,1562173192,-8.16,-70.77,0,48,89,5.26
Saint-Augustin,CA,1562173041,45.63,-73.98,20,51,88,5.82
Portland,US,1562172681,43.66,-70.25,20,54,88,9.17
Nikolskoye,RU,1562172959,59.7,30.79,90,82,60.01,2.24
Ribeira Grande,PT,1562172928,38.52,-28.7,40,69,75.2,10.29
Provideniya,RU,1562172948,64.42,-173.23,0,72,51.38,4.18
Fairbanks,US,1562172744,64.84,-147.72,90,77,60.8,4.7
Tateyama,JP,1562173193,36.66,137.31,100,95,72,3.67
Maldonado,UY,1562173193,-34.91,-54.96,75,66,48.2,14.99
Laguna,BZ,1562172982,16.17,-88.94,75,62,89.6,4.7
Tuktoyaktuk,CA,1562173193,69.44,-133.03,40,76,51.8,3.36
Longyearbyen,NO,1562172905,78.22,15.63,75,75,44.6,9.17
San Ramon,NI,1562173194,12.92,-85.84,40,65,77,6.93
Gizo,IL,1562172952,31.8,34.94,0,65,84,10.29
San Jeronimo,PE,1562173194,-13.65,-73.37,0,38,59,7.2
Sioux Falls,US,1562172936,43.55,-96.7,1,61,82,8.05
Bluff,AU,1562172912,-23.58,149.07,4,87,57.32,10.76
Port Jervis,US,1562172910,41.38,-74.69,75,69,86,5.35
Waipawa,NZ,1562173195,-39.94,176.59,100,87,57,8.99
Dzheguta,RU,1562173195,43.97,42.04,1,75,62.36,4.92
Saskylakh,RU,1562172895,71.97,114.09,100,73,49.58,6.2
Khor,RU,1562173195,47.88,134.96,90,93,59.66,4.34
Upernavik,GL,1562172954,72.79,-56.15,50,82,41.3,3.4
Lompoc,US,1562172929,34.64,-120.46,90,82,66.2,10.29
Boshnyakovo,RU,1562173196,49.65,142.17,73,89,51.2,8.19
Devonport,AU,1562173196,-41.18,146.36,0,81,42.01,1.99
Gat,SN,1562173196,14.69,-16.54,0,46,91.4,14.99
Demirci,TR,1562173196,39.05,28.66,0,10,80.01,1.01
Jurm,AF,1562173197,36.86,70.83,6,63,57.5,1.25
Chumikan,RU,1562172939,54.72,135.31,99,95,47.42,1.86
Arraial do Cabo,BR,1562172854,-22.97,-42.02,0,40,91.4,9.17
Yaan,NG,1562172915,7.38,8.57,80,90,78.38,5.35
Ranong,TH,1562173197,9.96,98.62,100,79,82.88,17.52
Hewitt,US,1562173198,31.46,-97.2,40,62,88,11.41
Vestmannaeyjar,IS,1562172902,63.44,-20.27,90,100,51.8,11.41
Kavieng,PG,1562172894,-2.57,150.8,40,71,83.24,3.74
Naryan-Mar,RU,1562173198,67.67,53.09,23,58,72.44,13.71
Ilulissat,GL,1562173053,69.22,-51.1,20,70,42.8,8.05
Arlit,NE,1562173010,18.74,7.39,0,7,106.46,11.59
Saint-Philippe,CA,1562172908,45.36,-73.48,1,51,88,4.7
Awbari,LY,1562173198,26.59,12.77,0,10,96.2,9.8
Ponta do Sol,BR,1562173022,-20.63,-46,13,37,76.58,10.71
Sawakin,SD,1562173199,19.1,37.33,0,33,86.66,5.12
Tumut,AU,1562173199,-35.3,148.22,0,85,38.96,4.09
Vuktyl,RU,1562173067,63.86,57.31,100,72,66.5,5.97
Kodiak,US,1562172917,39.95,-94.76,75,35,86,8.05
Tasiilaq,GL,1562172901,65.61,-37.64,90,81,46.4,4.7
Kruisfontein,ZA,1562173076,-34,24.73,0,74,53.36,1.97
Geraldton,CA,1562172906,49.72,-86.95,75,50,77,5.82
Aasiaat,GL,1562173201,68.71,-52.87,38,72,40.4,3.94
Coos Bay,US,1562173201,43.37,-124.22,75,77,63,3.36
Haines Junction,CA,1562173201,60.75,-137.51,87,62,60.02,4.34
Butaritari,KI,1562172893,3.07,172.79,2,70,83.42,2.64
Najran,SA,1562173203,17.54,44.22,0,12,96.8,8.05
Conceicao do Araguaia,BR,1562172965,-8.26,-49.26,38,37,90.62,7.54
Hajnowka,PL,1562173204,52.74,23.58,13,52,64,7.99
Buala,SB,1562173063,-8.15,159.59,15,83,79.1,8.84
Komatipoort,MZ,1562173205,-25.43,31.96,0,58,55.99,3.38
Alice Town,BS,1562173205,25.72,-79.3,98,66,85.22,5.08
Fort Nelson,CA,1562173205,58.81,-122.69,75,72,59,2.24
Taquaritinga do Norte,BR,1562173206,-7.9,-36.04,100,68,77.66,14.09
Faanui,PF,1562172990,-16.48,-151.75,81,71,77.12,33.44
Zyryanovsk,KZ,1562173206,49.74,84.27,60,82,54.62,3.87
Mar del Plata,AR,1562172892,-46.43,-67.52,5,59,34.64,10
Panlaitan,PH,1562173206,12.12,119.85,71,73,85.04,4.9
Iqaluit,CA,1562172951,63.75,-68.52,20,86,39.2,9.17
Jishou,CN,1562173207,28.26,109.7,96,72,70.46,1.48
San Vicente,EC,1562173207,-0.59,-80.41,75,83,78.8,8.05
Cabedelo,BR,1562172889,-6.97,-34.84,75,94,75.2,4.7
Touros,BR,1562173207,-5.2,-35.46,75,74,82.4,13.87
Moose Factory,CA,1562173208,51.26,-80.61,1,45,84.2,10.29
Kachug,RU,1562173208,53.96,105.89,16,71,53.18,3.29
Qaanaaq,GL,1562172910,77.48,-69.36,60,44,46.7,2.33
Sisimiut,GL,1562172906,66.94,-53.67,69,91,39.32,18.5
Rio Gallegos,AR,1562172974,-51.62,-69.22,20,92,30.2,1.12
Katherine,AU,1562172978,-14.47,132.26,49,42,62.6,10.29
Teguise,ES,1562173209,29.06,-13.56,40,50,78.8,21.92
Alexandria,RO,1562172937,43.97,25.33,1,45,93,1.01
Northam,AU,1562173059,-31.65,116.67,90,39,66.2,11.41
Aripuana,BR,1562173210,-9.17,-60.63,9,33,94.4,3.49
Clarence Town,AU,1562173210,-32.59,151.78,90,82,64,10.29
Hofn,IS,1562173210,64.25,-15.21,75,76,53.6,5.82
Tongling,CN,1562173211,30.93,117.81,71,96,71.18,3.2
Pringsewu,ID,1562173211,-5.36,104.98,83,95,73.52,1.05
Mount Gambier,AU,1562172977,-37.83,140.78,40,100,41,10.07
Katsuura,JP,1562172918,33.93,134.5,75,94,72,8.05
Tommot,RU,1562173211,58.97,126.27,100,76,45.62,4.72
Vila,IT,1562173212,45.18,8.4,40,45,89.01,9.17
Luanda,AO,1562172859,-8.83,13.24,20,83,73.4,10.87
Barrow,AR,1562172907,-38.31,-60.23,68,57,45.08,20.09
Castro,CL,1562172916,-42.48,-73.76,40,93,46.4,6.93
Andros Town,BS,1562173212,24.73,-77.79,40,70,86,9.17
Santa Maria da Vitoria,BR,1562173212,-13.39,-44.19,0,22,91.16,2.44
Tuatapere,NZ,1562172898,-46.13,167.69,35,84,48,7
Surt,LY,1562173033,31.21,16.59,0,71,78.2,20.42
Cherskiy,RU,1562172903,68.75,161.3,54,73,42.74,7.02
North Platte,US,1562173189,41.12,-100.77,1,61,84.99,5.82
Adrar,DZ,1562172929,27.87,-0.29,23,7,116.6,5.82
Kalmunai,LK,1562172984,7.42,81.82,84,72,79.28,3.31
Kabwe,ZM,1562173214,-14.44,28.44,32,66,62.54,6.02
Brezice,SI,1562173104,45.9,15.59,86,51,84.2,2.24
Poddorye,RU,1562173214,57.47,31.12,100,74,52.46,10.76
Wenden,DE,1562173214,50.97,7.87,0,39,73,12.75
Barmer,IN,1562173215,25.74,71.4,55,47,91.88,24.76
Sioux Lookout,CA,1562172892,50.1,-91.92,75,63,68,4.7
Nishihara,JP,1562173215,35.74,139.53,90,94,75.99,10.29
Mecca,SA,1562173215,21.43,39.83,0,50,83.6,8.19
Svetlaya,RU,1562173216,46.54,138.33,100,98,49.94,1.05
Corinto,CO,1562173200,3.17,-76.26,75,65,78.8,4.7
Kalianget,ID,1562173216,-7.35,109.91,20,78,82.4,6.93
Jijiang,CN,1562173216,29.8,120.61,100,100,75.2,4.47
Henties Bay,NA,1562173197,-22.12,14.28,0,37,70,7
Oranjemund,ZA,1562173004,-28.55,16.43,0,69,58.76,15.41
College,US,1562172905,64.86,-147.8,90,77,62.6,4.7
Georgetown,GY,1562172912,6.8,-58.16,75,100,82.4,4.7
Port Hardy,CA,1562172943,50.7,-127.42,90,87,57.2,3.36
Beira,ES,1562173217,43.2,-8.36,20,65,82.99,8.05
Thompson,CA,1562172660,55.74,-97.86,75,62,53.6,17.22
Grindavik,IS,1562173218,63.84,-22.43,75,76,53.6,11.41
Chicama,PE,1562173218,-7.84,-79.15,90,88,64.4,6.93
Wadi Musa,JO,1562173218,30.32,35.48,0,48,76.22,19.46
Taltal,CL,1562173218,-25.41,-70.49,0,64,60.2,5.66
Samarai,PG,1562172990,-10.62,150.67,54,90,69.56,4.23
Port-Gentil,GA,1562173218,-0.72,8.78,20,78,77,16.11
Eureka,US,1562173130,40.8,-124.16,90,93,62.01,8.05
Kamaishi,JP,1562173219,39.28,141.86,100,87,57.68,1.34
Kang,BW,1562173219,-23.67,22.79,0,23,49.94,5.08
Dembi Dolo,ET,1562173219,8.53,34.8,100,92,65.78,5.44
Mogadishu,SO,1562173219,2.04,45.34,90,79,76.04,11.68
Rockland,CA,1562173220,45.55,-75.29,20,42,88,3.36
Luderitz,NA,1562173032,-26.65,15.16,0,63,64.4,10.29
Nara,JP,1562173220,34.68,135.8,75,94,75.2,1.12
Trenggalek,ID,1562173221,-8.05,111.71,47,95,68.66,2.37
Fushe-Kruje,AL,1562173221,41.48,19.72,0,48,86,5.82
Meulaboh,ID,1562172972,4.14,96.13,100,71,83.78,4
Alyangula,AU,1562173002,-13.85,136.42,48,93,62.6,3.36
Bandiagara,ML,1562173222,14.35,-3.61,98,23,102.86,11.01
Tiznit,MA,1562173022,29.7,-9.73,0,84,67.22,14.2
Semirom,IR,1562173222,31.41,51.57,78,29,72.98,0.98
Mildura,AU,1562173222,-34.18,142.16,0,93,45,4.7
Mehamn,NO,1562172998,71.03,27.85,90,93,46.4,6.93
Erenhot,CN,1562173223,43.65,111.97,74,24,76.4,11.92
Tiarei,PF,1562173223,-17.53,-149.33,40,88,69.8,3.36
Luena,AO,1562173223,-11.78,19.91,0,44,60.2,2.51
Poli,CM,1562173224,8.48,13.24,88,73,78.38,3.56
Kabanjahe,ID,1562172950,3.1,98.49,100,45,86,1.25
Bredasdorp,ZA,1562172954,-34.53,20.04,17,63,64.4,9.17
Norman Wells,CA,1562172921,65.28,-126.83,75,87,55.4,2.24
Santa Maria,BR,1562173224,-16.02,-48.01,75,32,80.6,8.05
Bambous Virieux,MU,1562172900,-20.34,57.76,75,94,69.8,5.82
Masuguru,MZ,1562173224,-11.38,38.46,50,40,78.2,3.6
Rome,IT,1562172796,41.89,12.48,0,35,96.01,8.05
Ziro,IN,1562173225,27.54,93.82,100,94,61.82,2.8
Awjilah,LY,1562173225,29.14,21.3,0,20,85.76,13.33
Grand-Santi,GF,1562173225,4.27,-54.38,43,50,89,3.29
Poum,MK,1562173021,41.28,20.71,40,51,80.6,2.24
Onda,ES,1562173226,39.96,-0.26,0,37,87.01,9.17
Hovd,NO,1562173226,63.83,10.7,75,81,48.99,19.46
Ignacio Zaragoza,MX,1562173226,28.57,-111.59,73,47,97,13
Kuusamo,FI,1562173227,65.96,29.19,90,93,53.6,12.75
Linhares,BR,1562173227,-19.38,-40.06,31,53,83.78,5.19
Husavik,CA,1562172911,50.56,-96.99,20,36,72,4
Lormi,IN,1562173227,22.27,81.71,100,92,73.34,5.3
Kahului,US,1562173073,20.89,-156.47,20,78,75.99,6.93
Bima,ID,1562173228,-8.45,118.73,96,97,68.12,2.44
Pozo Colorado,PY,1562173228,-23.49,-58.8,93,68,62,8.14
Karratha,AU,1562172960,-20.74,116.85,4,72,65.42,2.51
Yumen,CN,1562172928,40.29,97.04,52,20,82.7,6.69
Olga,US,1562173229,34.11,-118.17,40,68,73.99,3.36
Lorengau,PG,1562173059,-2.02,147.27,19,83,78.02,4.38
Rylsk,RU,1562173200,51.57,34.68,18,77,56.96,8.23
Katsina,NG,1562173229,12.99,7.6,24,34,94.04,5.03
Kupang,ID,1562173230,-10.16,123.6,37,75,75.32,16.62
Newport,US,1562173093,41.49,-71.31,40,45,91,10.29
Vila Velha,BR,1562172948,-3.71,-38.6,35,83,80.01,11.01
Shimanovsk,RU,1562173230,52,127.67,0,95,56.6,4.03
High Level,CA,1562173231,58.52,-117.13,75,55,62.6,11.41
Pangody,RU,1562173231,65.85,74.49,100,51,76.22,10.47
Talnakh,RU,1562172905,69.49,88.39,0,47,77,8.95
Noumea,NC,1562172986,-22.28,166.46,90,93,66.2,2.24
Soure,PT,1562173232,40.06,-8.63,20,64,82,10.29
Saint-Leu,RE,1562173232,-21.15,55.28,0,68,69.8,5.82
Airai,TL,1562172993,-8.93,125.41,37,84,65.96,5.99
Port Hedland,AU,1562172947,-20.31,118.58,0,67,60.8,5.82
Lang Son,VN,1562173234,21.83,106.73,100,93,75.68,9.19
Beringovskiy,RU,1562172941,63.05,179.32,0,65,56.6,7.23
Fortuna,US,1562172963,40.6,-124.16,90,93,62.01,8.05
Panguna,PG,1562173236,-6.32,155.48,78,80,80.54,7.56
Rantepao,ID,1562173236,-2.97,119.9,29,98,58.04,2.01
Kaeo,NZ,1562172915,-35.1,173.78,100,96,63,10
Ponta Delgada,PT,1562172753,37.73,-25.67,20,73,71.6,14.99
Ukiah,US,1562173116,39.15,-123.21,1,52,77,3.36
Grand Gaube,MU,1562173237,-20.01,57.66,75,94,69.8,5.82
Zeya,RU,1562173238,53.74,127.27,99,94,53.72,5.06
Viransehir,TR,1562173238,37.24,39.76,0,16,80,8.28
Mitu,IR,1562173238,36.2,46.09,0,42,64.7,1.43
Esperance,AU,1562173020,-33.86,121.89,0,76,50,12.75
Aguimes,ES,1562173239,27.91,-15.45,40,53,78.01,31.09
Bayangol,MN,1562173239,48.91,106.09,91,95,59.66,5.66
Sivas,TR,1562173239,39.75,37.01,20,52,70,14.99
Campbell River,CA,1562173239,50.02,-125.24,90,82,62.6,2.24
Dunedin,NZ,1562173208,-45.87,170.5,27,71,48.99,21.99
Athabasca,CA,1562173240,54.72,-113.29,89,45,63.08,7.18
Botshabelo,ZA,1562173241,-29.23,26.73,0,34,51.8,4.7
Kamenka,MD,1562172903,48.03,28.7,83,74,67.4,4.83
Hambantota,LK,1562173029,6.12,81.12,84,81,83.24,15.82
Bilibino,RU,1562173226,68.06,166.44,75,84,44.36,1.34
Tupiza,BO,1562173242,-21.44,-65.72,78,16,51.92,21.03
Magole,TZ,1562173242,-6.37,37.37,0,67,61.1,2.46
Port Shepstone,ZA,1562173243,-30.74,30.45,0,58,55.16,5.77
Carutapera,BR,1562172964,-1.2,-46.02,1,63,84.5,10
Pasni,PK,1562173244,25.26,63.48,0,78,83.42,4
Colac,AU,1562173244,-38.34,143.59,0,95,48.99,2.95
Sitka,US,1562172948,37.17,-99.65,0,32,90.8,8.77
Aguas Vermelhas,BR,1562173244,-15.75,-41.46,33,34,82.34,0.6
Ilebo,CD,1562173244,-4.33,20.59,44,43,77.66,0.58
Coihaique,CL,1562172710,-45.58,-72.07,90,82,41,3.36
Taoudenni,ML,1562173035,22.68,-3.98,46,6,113.66,9.93
Plettenberg Bay,ZA,1562173245,-34.05,23.37,0,72,55.52,2.68
Piranhas,BR,1562173245,-16.43,-51.82,13,32,83.6,7.74
Waingapu,ID,1562173245,-9.65,120.26,64,82,69.38,11.65
Goderich,CA,1562172951,43.74,-81.71,83,58,81,4
Pirganj,BD,1562173246,25.85,88.36,49,79,84.86,12.12
Angoche,MZ,1562173246,-16.23,39.91,0,91,70.46,4.21
Shimoda,JP,1562173012,34.7,138.93,100,95,73.99,3
Azovskaya,RU,1562173246,44.79,38.62,0,55,87.01,8.95
Broken Hill,AU,1562173246,-31.97,141.45,0,75,46.4,12.75
Nizhniy Baskunchak,RU,1562173247,48.22,46.83,54,61,76.94,6.13
Virginia Beach,US,1562172503,36.85,-75.98,1,52,96.01,2.26
Healesville,AU,1562173247,-37.65,145.52,31,100,48.99,5.82
Ligayan,PH,1562173248,4.65,119.47,98,81,80.18,10.42
Amantea,IT,1562173248,39.13,16.07,0,70,84.2,9.17
Ambulu,ID,1562173248,-8.35,113.61,73,88,75.86,3.62
Parlakimidi,IN,1562173248,18.77,84.08,77,84,76.4,1.5
Houston,US,1562172911,29.76,-95.37,75,70,91,8.43
Ngunguru,NZ,1562173249,-35.62,174.5,100,96,63,10
Malumfashi,NG,1562173249,11.79,7.62,70,71,80.54,14.54
Codrington,AU,1562172916,-28.95,153.24,40,93,66.2,6.87
Windhoek,NA,1562173249,-22.57,17.08,0,8,71.6,5.82
Swan Hill,AU,1562173250,-35.34,143.56,0,94,42.74,8.3
Christchurch,NZ,1562173250,-43.53,172.64,53,60,46.99,6.93
Sabang,PH,1562173020,13.8,121.11,78,92,73.52,0.89
Flinders,AU,1562172980,-34.58,150.85,75,100,61,3.94
Nyurba,RU,1562173250,63.29,118.35,66,69,43.82,3.78
Walvis Bay,NA,1562172904,-22.95,14.51,0,17,86,12.75
Umm Kaddadah,SD,1562173251,13.6,26.69,51,25,94.94,11.23
Miracema do Tocantins,BR,1562173251,-9.56,-48.4,32,35,91.16,4.59
Rupert,US,1562173251,42.62,-113.68,1,55,62.6,9.17
Souillac,FR,1562173053,45.6,-0.6,0,43,87.8,13.87
Seoul,KR,1562172503,37.57,126.98,1,93,69.8,1.12
Yulara,AU,1562172896,-25.24,130.99,0,29,50,9.17
Tessalit,ML,1562173251,20.2,1.01,88,19,97.64,22.26
Nioro,GM,1562173252,13.79,-15.05,99,31,100.34,9.84
Lavrentiya,RU,1562172901,65.58,-170.99,4,73,52.64,7.05
Atoyac,MX,1562173252,18.92,-96.78,40,84,89.01,5.19
Vanavara,RU,1562173252,60.35,102.28,66,62,54.44,2.42
Puerto Baquerizo Moreno,EC,1562173253,-0.9,-89.6,90,73,73.4,14.99
Jos,NG,1562173253,9.92,8.9,47,86,73.7,2.59
Qaqortoq,GL,1562173020,60.72,-46.03,20,44,60.8,11.41
Mackay,CA,1562173253,53.65,-115.58,90,81,51.8,9.17
Asyut,EG,1562173253,27.18,31.19,0,23,96.8,20.8
Feijo,EC,1562173254,-3.63,-79.92,75,74,89.6,6.93
Bayan,CN,1562173254,36.1,102.26,100,80,51.56,1.16
Mayo,CA,1562172897,63.59,-135.9,40,63,60.8,3.36
Hoquiam,US,1562173254,46.98,-123.89,90,72,62.01,6.93
Lancaster,US,1562173254,34.7,-118.14,5,68,81,12.95
Gamba,CN,1562173064,28.28,88.52,49,65,45.44,4.56
Victor Harbor,AU,1562173255,-35.55,138.62,7,75,51.01,4.7
Tomari,RU,1562173256,47.76,142.06,22,90,51.38,7.7
Altamira,BR,1562173205,-3.2,-52.21,75,62,89.6,4.7
Amahai,ID,1562173257,-3.31,129,51,94,78.01,9.57
Kargil,PK,1562173257,34.56,76.13,0,46,51.74,8.34
Perry,US,1562173257,30.12,-83.58,1,53,95,3.36
Tara,JP,1562173258,33,130.15,100,94,73.99,3
Huarmey,PE,1562173064,-10.07,-78.15,54,84,63.08,13.15
Morondava,MG,1562173258,-20.3,44.28,0,76,76.76,22.79
Rykhtychi,UA,1562173258,49.39,23.56,0,37,71.6,8.95
Beidao,CN,1562173258,34.57,105.89,95,78,58.94,5.93
Ferme-Neuve,CA,1562173259,46.7,-75.45,0,30,86.12,3.69
Lewiston,US,1562173259,44.1,-70.21,20,51,89.01,8.05
Hamilton,CA,1562172725,43.26,-79.87,75,73,84.99,2.24
Uulu,EE,1562173260,58.28,24.58,96,49,59,11.01
Pangai,TO,1562173031,-19.8,-174.35,32,80,75.5,28.54
Copiapo,CL,1562173260,-27.37,-70.33,20,66,55.4,2.24
Nurota,UZ,1562173261,40.56,65.69,0,24,78.8,6.93
Cap Malheureux,MU,1562173261,-19.98,57.61,75,94,69.8,5.82
Korhogo,CI,1562173261,9.46,-5.63,99,75,82.88,5.3
Lockhart,AU,1562173262,-35.22,146.72,4,93,44.6,6.93
